Date,Region,Category,Product,Quantity,UnitPrice,Revenue,Profit
2024-01-11,West,Groceries,Beverages,13,39.86,518.18,122.54
2024-01-11,West,Furniture,Chair,11,401.47,4416.17,534.47
2024-01-11,North,Electronics,Smartwatch,13,150.16,1952.08,309.03
2024-01-11,East,Electronics,Smartphone,8,218.42,1747.36,503.84
2024-01-11,South,Clothing,Shoes,6,43.72,262.32,47.89
2024-01-11,South,Furniture,Table,14,109.28,1529.92,197.94
2024-01-11,East,Furniture,Table,9,288.12,2593.08,313.04
2024-01-11,North,Furniture,Chair,1,584.34,584.34,188.62
2024-01-11,North,Toys,Puzzle,6,13.77,82.62,11.7
2024-01-12,North,Clothing,Jeans,14,79.71,1115.94,366.94
2024-01-12,West,Furniture,Bed,10,402.47,4024.7,591.75
2024-01-12,South,Furniture,Chair,10,267.38,2673.8,570.35
2024-01-13,South,Furniture,Chair,1,220.9,220.9,26.3
2024-01-13,West,Groceries,Beverages,6,26.47,158.82,50.27
2024-01-13,East,Furniture,Bed,13,329.79,4287.27,832.52
2024-01-13,South,Clothing,Jacket,10,77.89,778.9,158.67
2024-01-13,South,Electronics,Laptop,1,56.15,56.15,18.43
2024-01-13,East,Electronics,Laptop,7,396.04,2772.28,366.74
2024-01-13,West,Toys,Action Figure,3,12.34,37.02,6.19
2024-01-13,North,Toys,Puzzle,7,52.61,368.27,87.64
2024-01-13,South,Electronics,Laptop,5,89.78,448.9,132.95
2024-01-14,South,Furniture,Chair,2,589.84,1179.68,305.73
2024-01-14,South,Toys,Puzzle,11,55.52,610.72,106.56
2024-01-14,North,Furniture,Sofa,10,561.83,5618.3,924.55
2024-01-14,East,Clothing,Jacket,8,53.46,427.68,79.29
2024-01-14,South,Groceries,Beverages,9,19.01,171.09,46.9
2024-01-14,South,Groceries,Beverages,9,28.36,255.24,28.13
2024-01-14,East,Electronics,Laptop,5,205.29,1026.45,194.0
2024-01-14,West,Toys,Puzzle,14,49.97,699.58,179.77
2024-01-15,North,Toys,Action Figure,8,50.31,402.48,115.54
2024-01-15,East,Clothing,Jacket,13,47.56,618.28,143.95
2024-01-15,North,Clothing,Jacket,2,12.57,25.14,5.73
2024-01-15,East,Clothing,Shoes,12,41.32,495.84,96.35
2024-01-15,East,Toys,Puzzle,10,21.66,216.6,40.23
2024-01-15,East,Electronics,Smartphone,9,355.6,3200.4,789.57
2024-01-15,East,Electronics,Laptop,8,313.94,2511.52,632.62
2024-01-15,South,Groceries,Snacks,11,26.2,288.2,39.83
2024-01-15,South,Groceries,Oil,7,8.08,56.56,17.57
2024-01-16,East,Toys,Doll,3,38.8,116.4,38.34
2024-01-16,East,Electronics,Laptop,6,488.78,2932.68,685.54
2024-01-16,West,Groceries,Rice,10,11.55,115.5,26.21
2024-01-16,North,Groceries,Oil,1,31.87,31.87,10.61
2024-01-16,East,Clothing,Shoes,13,13.63,177.19,61.57
2024-01-17,West,Toys,Puzzle,8,39.78,318.24,69.34
2024-01-17,North,Electronics,Smartphone,7,407.43,2852.01,950.39
2024-01-17,North,Groceries,Oil,11,7.33,80.63,25.03
2024-01-17,West,Clothing,T-Shirt,8,62.54,500.32,79.51
2024-01-17,East,Groceries,Rice,14,35.7,499.8,104.85
2024-01-17,East,Clothing,Jeans,14,53.69,751.66,141.94
2024-01-17,North,Groceries,Beverages,7,13.02,91.14,16.7
2024-01-18,South,Clothing,Jeans,8,21.67,173.36,42.18
2024-01-18,South,Furniture,Chair,13,466.85,6069.05,1471.58
2024-01-18,South,Groceries,Beverages,10,8.6,86.0,18.43
2024-01-18,South,Groceries,Oil,4,10.25,41.0,11.48
2024-01-18,North,Furniture,Chair,3,259.76,779.28,254.91
2024-01-19,West,Clothing,Jeans,6,42.34,254.04,57.53
2024-01-19,West,Groceries,Snacks,9,25.75,231.75,68.95
2024-01-19,South,Clothing,T-Shirt,5,20.68,103.4,29.38
2024-01-19,South,Furniture,Sofa,8,202.67,1621.36,237.66
2024-01-19,East,Electronics,Headphones,7,464.38,3250.66,369.57
2024-01-19,East,Toys,Doll,9,30.73,276.57,87.36
2024-01-19,East,Electronics,Laptop,6,205.86,1235.16,263.22
2024-01-19,East,Clothing,Jacket,3,50.43,151.29,44.65
2024-01-20,North,Electronics,Smartwatch,6,149.04,894.24,214.02
2024-01-20,East,Groceries,Beverages,6,22.58,135.48,38.95
2024-01-20,North,Furniture,Table,11,404.99,4454.89,1377.19
2024-01-20,East,Electronics,Smartwatch,3,79.57,238.71,47.79
2024-01-20,North,Toys,Action Figure,6,47.66,285.96,48.06
2024-01-21,East,Furniture,Chair,14,516.69,7233.66,1461.17
2024-01-21,East,Toys,Board Game,9,15.21,136.89,41.06
2024-01-21,North,Groceries,Snacks,3,30.23,90.69,22.74
2024-01-21,West,Groceries,Beverages,14,28.38,397.32,128.77
2024-01-21,East,Toys,Action Figure,7,53.82,376.74,98.23
2024-01-22,South,Furniture,Bed,2,509.06,1018.12,110.52
2024-01-22,South,Toys,Board Game,4,24.72,98.88,33.33
2024-01-22,West,Toys,Puzzle,6,33.55,201.3,29.29
2024-01-22,East,Groceries,Oil,2,23.96,47.92,6.46
2024-01-23,West,Toys,Board Game,14,10.92,152.88,50.23
2024-01-23,West,Furniture,Bed,5,290.73,1453.65,407.1
2024-01-23,South,Toys,Doll,5,39.87,199.35,49.86
2024-01-23,South,Electronics,Headphones,9,272.42,2451.78,503.86
2024-01-23,East,Electronics,Smartphone,2,124.83,249.66,49.26
2024-01-24,East,Clothing,Jeans,4,30.8,123.2,41.17
2024-01-24,South,Electronics,Laptop,5,267.69,1338.45,417.06
2024-01-24,South,Furniture,Chair,11,135.43,1489.73,420.17
2024-01-24,West,Furniture,Table,9,119.49,1075.41,108.17
2024-01-24,West,Furniture,Bed,3,127.62,382.86,51.38
2024-01-25,South,Clothing,T-Shirt,9,22.96,206.64,62.33
2024-01-25,North,Furniture,Table,7,549.75,3848.25,1051.7
2024-01-25,South,Toys,Doll,9,19.03,171.27,41.44
2024-01-25,North,Toys,Action Figure,10,15.76,157.6,32.38
2024-01-26,North,Furniture,Table,2,351.67,703.34,184.66
2024-01-26,West,Toys,Board Game,8,26.99,215.92,60.71
2024-01-26,West,Toys,Doll,12,46.89,562.68,129.44
2024-01-26,West,Clothing,Shoes,13,26.31,342.03,109.0
2024-01-26,West,Groceries,Oil,13,7.45,96.85,11.83
2024-01-26,East,Toys,Doll,14,48.41,677.74,138.56
2024-01-26,South,Groceries,Beverages,7,5.12,35.84,11.23
2024-01-27,North,Groceries,Oil,14,36.86,516.04,102.13
2024-01-27,East,Groceries,Snacks,4,32.52,130.08,41.6
2024-01-27,North,Clothing,Jeans,14,73.26,1025.64,205.53
2024-01-27,South,Furniture,Table,13,199.95,2599.35,403.22
2024-01-28,South,Electronics,Smartwatch,10,400.81,4008.1,1330.44
2024-01-28,West,Groceries,Beverages,10,23.03,230.3,74.7
2024-01-28,West,Electronics,Smartphone,3,151.0,453.0,55.66
2024-01-29,West,Furniture,Chair,8,576.94,4615.52,1395.64
2024-01-29,West,Furniture,Chair,8,211.38,1691.04,463.22
2024-01-29,East,Groceries,Beverages,10,8.83,88.3,10.19
2024-01-30,West,Toys,Action Figure,14,38.29,536.06,89.39
2024-01-30,West,Clothing,Jacket,6,70.77,424.62,77.92
2024-01-30,West,Furniture,Chair,13,471.41,6128.33,1962.4
2024-01-30,West,Groceries,Beverages,10,5.18,51.8,16.95
2024-01-30,South,Furniture,Table,2,83.32,166.64,42.37
2024-01-30,North,Furniture,Chair,1,84.72,84.72,11.19
2024-01-30,North,Furniture,Table,3,257.77,773.31,257.52
2024-01-31,West,Clothing,T-Shirt,6,58.15,348.9,40.76
2024-01-31,East,Furniture,Sofa,10,523.26,5232.6,1407.64
2024-01-31,South,Furniture,Sofa,12,92.79,1113.48,201.43
2024-01-31,East,Furniture,Sofa,3,323.64,970.92,121.9
2024-01-31,West,Groceries,Rice,9,29.28,263.52,71.18
2024-01-31,West,Electronics,Laptop,6,109.1,654.6,214.3
2024-01-31,East,Clothing,T-Shirt,5,37.83,189.15,61.19
2024-02-01,North,Electronics,Smartphone,2,145.9,291.8,63.7
2024-02-01,South,Electronics,Smartphone,8,121.66,973.28,226.37
2024-02-01,South,Clothing,Shoes,7,19.19,134.33,40.18
2024-02-01,North,Toys,Action Figure,9,37.92,341.28,53.37
2024-02-01,West,Groceries,Snacks,12,14.41,172.92,36.97
2024-02-01,South,Toys,Puzzle,8,46.09,368.72,97.43
2024-02-01,South,Groceries,Rice,9,6.39,57.51,9.23
2024-02-01,North,Groceries,Beverages,9,21.88,196.92,57.88
2024-02-01,West,Clothing,T-Shirt,2,46.24,92.48,11.06
2024-02-02,South,Electronics,Headphones,7,109.72,768.04,108.96
2024-02-02,North,Toys,Puzzle,1,40.83,40.83,10.34
2024-02-02,East,Toys,Doll,9,26.97,242.73,73.72
2024-02-02,East,Electronics,Headphones,7,347.37,2431.59,267.93
2024-02-02,North,Furniture,Bed,12,208.49,2501.88,795.46
2024-02-02,North,Furniture,Sofa,10,533.35,5333.5,591.57
2024-02-02,West,Clothing,Shoes,12,60.34,724.08,190.13
2024-02-02,South,Toys,Board Game,10,52.02,520.2,74.67
2024-02-03,West,Furniture,Bed,10,272.94,2729.4,300.31
2024-02-03,East,Groceries,Oil,1,6.03,6.03,1.5
2024-02-03,North,Groceries,Beverages,4,25.73,102.92,26.32
2024-02-03,South,Furniture,Bed,8,290.76,2326.08,600.44
2024-02-03,East,Electronics,Smartwatch,14,487.13,6819.82,2166.57
2024-02-03,East,Clothing,Shoes,14,35.15,492.1,168.47
2024-02-03,South,Groceries,Snacks,2,25.59,51.18,8.15
2024-02-04,East,Groceries,Snacks,11,16.58,182.38,24.88
2024-02-04,North,Toys,Action Figure,5,18.38,91.9,10.03
2024-02-04,North,Clothing,Shoes,5,47.35,236.75,74.83
2024-02-04,West,Toys,Action Figure,6,36.56,219.36,73.3
2024-02-04,West,Furniture,Bed,13,126.05,1638.65,403.38
2024-02-04,North,Electronics,Headphones,12,116.75,1401.0,363.95
2024-02-04,South,Furniture,Table,9,258.18,2323.62,305.41
2024-02-04,East,Toys,Board Game,14,58.5,819.0,101.13
2024-02-04,West,Toys,Board Game,8,43.08,344.64,118.78
2024-02-05,West,Toys,Board Game,10,48.43,484.3,62.12
2024-02-05,East,Furniture,Sofa,9,422.62,3803.58,999.61
2024-02-05,East,Groceries,Oil,10,26.17,261.7,91.16
2024-02-05,North,Clothing,Jacket,13,49.69,645.97,117.41
2024-02-05,North,Toys,Action Figure,6,53.45,320.7,62.19
2024-02-06,South,Clothing,Shoes,6,32.99,197.94,38.62
2024-02-06,East,Toys,Board Game,13,13.66,177.58,44.55
2024-02-06,North,Clothing,Jacket,14,63.15,884.1,275.66
2024-02-06,South,Groceries,Oil,12,18.31,219.72,51.28
2024-02-06,East,Electronics,Smartphone,11,394.2,4336.2,645.85
2024-02-06,East,Electronics,Laptop,7,453.52,3174.64,473.94
2024-02-06,East,Clothing,Shoes,13,17.1,222.3,39.31
2024-02-06,North,Electronics,Headphones,12,292.62,3511.44,714.18
2024-02-07,West,Furniture,Bed,14,353.08,4943.12,626.39
2024-02-07,East,Clothing,T-Shirt,10,74.24,742.4,143.56
2024-02-07,East,Furniture,Chair,13,505.98,6577.74,1032.84
2024-02-08,North,Furniture,Bed,10,480.37,4803.7,787.38
2024-02-08,North,Toys,Puzzle,4,14.78,59.12,15.13
2024-02-08,South,Clothing,Jacket,1,20.71,20.71,4.84
2024-02-09,North,Clothing,T-Shirt,5,52.5,262.5,65.26
2024-02-09,West,Toys,Action Figure,14,32.14,449.96,95.14
2024-02-09,West,Furniture,Bed,9,134.14,1207.26,295.29
2024-02-09,East,Toys,Doll,7,30.06,210.42,40.35
2024-02-09,East,Toys,Puzzle,6,50.02,300.12,47.55
2024-02-09,North,Clothing,Jeans,5,51.5,257.5,38.0
2024-02-09,East,Electronics,Smartphone,2,497.36,994.72,114.43
2024-02-09,South,Clothing,T-Shirt,12,77.32,927.84,187.77
2024-02-10,South,Electronics,Smartwatch,9,419.81,3778.29,739.15
2024-02-10,West,Toys,Doll,7,37.0,259.0,80.42
2024-02-10,East,Electronics,Smartphone,5,91.82,459.1,104.08
2024-02-10,East,Groceries,Beverages,4,15.61,62.44,7.61
2024-02-10,North,Clothing,Jacket,11,45.68,502.48,159.96
2024-02-10,South,Furniture,Chair,6,522.74,3136.44,1043.33
2024-02-10,South,Clothing,Jacket,10,53.96,539.6,73.02
2024-02-10,South,Electronics,Laptop,7,187.11,1309.77,244.3
2024-02-11,South,Groceries,Snacks,2,9.64,19.28,4.28
2024-02-11,West,Electronics,Smartwatch,14,454.22,6359.08,1695.18
2024-02-11,East,Furniture,Sofa,2,580.82,1161.64,396.65
2024-02-11,West,Furniture,Chair,12,134.95,1619.4,249.4
2024-02-11,North,Furniture,Sofa,14,373.51,5229.14,799.74
2024-02-11,East,Electronics,Laptop,14,497.69,6967.66,944.55
2024-02-12,South,Toys,Puzzle,12,35.47,425.64,148.62
2024-02-12,East,Toys,Puzzle,1,52.4,52.4,14.73
2024-02-12,South,Furniture,Bed,5,271.23,1356.15,416.18
2024-02-13,East,Clothing,Shoes,13,10.77,140.01,23.1
2024-02-13,West,Electronics,Smartwatch,10,356.44,3564.4,917.21
2024-02-13,East,Furniture,Sofa,5,137.06,685.3,146.38
2024-02-13,East,Electronics,Smartphone,4,169.71,678.84,178.49
2024-02-13,East,Furniture,Bed,3,488.21,1464.63,496.27
2024-02-13,East,Furniture,Chair,1,119.74,119.74,39.82
2024-02-13,West,Electronics,Headphones,12,401.53,4818.36,755.24
2024-02-14,East,Groceries,Rice,12,8.7,104.4,11.69
2024-02-14,West,Toys,Puzzle,8,10.61,84.88,28.78
2024-02-14,West,Furniture,Chair,5,584.79,2923.95,865.37
2024-02-15,South,Toys,Board Game,11,31.21,343.31,41.42
2024-02-15,West,Furniture,Chair,12,587.52,7050.24,723.4
2024-02-15,South,Groceries,Oil,4,27.54,110.16,37.69
2024-02-15,East,Furniture,Bed,5,332.73,1663.65,382.96
2024-02-15,North,Electronics,Smartphone,12,120.49,1445.88,280.5
2024-02-16,South,Groceries,Rice,12,14.58,174.96,39.19
2024-02-16,West,Electronics,Smartphone,1,340.61,340.61,112.31
2024-02-16,North,Furniture,Chair,2,469.06,938.12,136.17
2024-02-16,South,Furniture,Sofa,11,360.57,3966.27,503.66
2024-02-16,East,Furniture,Bed,5,343.04,1715.2,485.75
2024-02-16,West,Clothing,Shoes,11,62.04,682.44,84.24
2024-02-16,South,Furniture,Table,12,320.01,3840.12,620.83
2024-02-16,South,Electronics,Headphones,5,446.65,2233.25,396.92
2024-02-17,West,Groceries,Snacks,14,17.44,244.16,24.74
2024-02-17,North,Groceries,Snacks,10,5.39,53.9,14.53
2024-02-17,West,Clothing,Shoes,3,42.92,128.76,33.59
2024-02-17,West,Groceries,Snacks,10,18.7,187.0,18.85
2024-02-17,West,Furniture,Sofa,6,289.21,1735.26,394.82
2024-02-17,South,Clothing,Shoes,3,50.6,151.8,40.85
2024-02-17,South,Furniture,Chair,2,410.98,821.96,225.1
2024-02-18,East,Furniture,Bed,14,350.55,4907.7,640.92
2024-02-18,West,Clothing,Shoes,1,16.2,16.2,5.66
2024-02-18,North,Clothing,Jacket,12,22.14,265.68,72.13
2024-02-18,North,Furniture,Chair,14,185.53,2597.42,895.88
2024-02-18,West,Electronics,Smartphone,3,61.79,185.37,32.38
2024-02-18,West,Clothing,T-Shirt,5,69.69,348.45,76.74
2024-02-19,West,Groceries,Snacks,10,27.09,270.9,88.68
2024-02-19,West,Electronics,Headphones,8,378.28,3026.24,871.08
2024-02-19,West,Groceries,Beverages,8,14.9,119.2,20.14
2024-02-19,North,Toys,Puzzle,7,32.49,227.43,66.9
2024-02-19,South,Groceries,Oil,12,6.63,79.56,14.84
2024-02-19,North,Furniture,Chair,2,91.35,182.7,62.27
2024-02-19,North,Furniture,Table,7,404.7,2832.9,977.03
2024-02-20,East,Electronics,Laptop,3,376.32,1128.96,385.92
2024-02-20,East,Electronics,Headphones,13,101.34,1317.42,316.58
2024-02-20,East,Groceries,Beverages,1,19.14,19.14,4.54
2024-02-20,South,Clothing,Shoes,2,42.08,84.16,26.3
2024-02-20,South,Clothing,Jeans,2,70.34,140.68,41.75
2024-02-20,North,Toys,Doll,6,20.07,120.42,19.83
2024-02-20,South,Furniture,Table,4,89.33,357.32,94.66
2024-02-21,South,Furniture,Sofa,12,470.38,5644.56,1344.13
2024-02-21,West,Groceries,Rice,8,23.85,190.8,50.41
2024-02-21,West,Groceries,Oil,9,20.44,183.96,22.72
2024-02-21,North,Furniture,Sofa,12,494.92,5939.04,1952.59
2024-02-21,East,Furniture,Sofa,8,166.34,1330.72,253.87
2024-02-21,West,Groceries,Oil,11,9.92,109.12,35.3
2024-02-22,West,Furniture,Chair,11,525.57,5781.27,1647.27
2024-02-22,South,Furniture,Sofa,7,427.32,2991.24,423.23
2024-02-22,East,Groceries,Rice,6,9.54,57.24,6.14
2024-02-22,West,Groceries,Rice,4,30.6,122.4,37.3
2024-02-22,North,Toys,Doll,2,42.58,85.16,15.2
2024-02-22,East,Clothing,Jacket,8,67.98,543.84,166.68
2024-02-23,South,Clothing,Jacket,1,19.94,19.94,5.24
2024-02-23,South,Electronics,Laptop,6,382.13,2292.78,653.04
2024-02-23,East,Furniture,Chair,2,170.94,341.88,53.61
2024-02-23,East,Clothing,T-Shirt,8,15.4,123.2,23.42
2024-02-23,East,Groceries,Beverages,5,27.86,139.3,40.61
2024-02-23,South,Clothing,Jeans,3,72.92,218.76,31.12
2024-02-23,East,Toys,Board Game,2,29.02,58.04,19.98
2024-02-23,South,Groceries,Beverages,14,19.75,276.5,36.46
2024-02-24,East,Groceries,Rice,3,29.48,88.44,22.58
2024-02-24,West,Electronics,Smartphone,9,187.14,1684.26,464.72
2024-02-24,South,Furniture,Sofa,13,374.93,4874.09,1492.12
2024-02-25,North,Furniture,Chair,3,113.54,340.62,108.77
2024-02-25,East,Toys,Puzzle,13,21.98,285.74,85.33
2024-02-25,West,Groceries,Snacks,14,32.62,456.68,74.47
2024-02-25,West,Groceries,Rice,5,8.29,41.45,12.74
2024-02-25,South,Furniture,Chair,8,122.75,982.0,212.22
2024-02-25,East,Toys,Action Figure,9,32.26,290.34,86.29
2024-02-25,North,Furniture,Sofa,3,279.95,839.85,220.93
2024-02-26,West,Electronics,Smartphone,8,320.29,2562.32,419.19
2024-02-26,North,Electronics,Headphones,1,67.89,67.89,14.43
2024-02-26,West,Electronics,Laptop,13,266.92,3469.96,795.12
2024-02-26,South,Toys,Action Figure,6,24.25,145.5,31.39
2024-02-27,West,Furniture,Sofa,1,224.47,224.47,38.42
2024-02-27,West,Toys,Action Figure,1,34.68,34.68,9.56
2024-02-27,West,Electronics,Smartwatch,3,252.77,758.31,243.09
2024-02-27,West,Groceries,Rice,13,15.83,205.79,62.83
2024-02-27,East,Clothing,Shoes,8,10.15,81.2,25.81
2024-02-27,West,Clothing,Jacket,2,36.87,73.74,15.1
2024-02-27,North,Groceries,Snacks,4,16.24,64.96,16.99
2024-02-28,North,Furniture,Sofa,2,152.21,304.42,42.19
2024-02-28,South,Electronics,Smartwatch,3,375.79,1127.37,152.8
2024-02-28,North,Clothing,T-Shirt,1,47.27,47.27,15.48
2024-02-28,North,Groceries,Oil,14,30.52,427.28,116.7
2024-02-29,South,Toys,Action Figure,4,32.32,129.28,38.73
2024-02-29,North,Toys,Action Figure,3,54.48,163.44,16.85
2024-02-29,South,Clothing,Jacket,11,59.39,653.29,135.64
2024-02-29,South,Toys,Puzzle,4,35.86,143.44,27.93
2024-03-01,East,Clothing,Jeans,11,65.42,719.62,167.51
2024-03-01,East,Clothing,T-Shirt,4,49.18,196.72,30.91
2024-03-01,North,Clothing,T-Shirt,8,77.48,619.84,122.11
2024-03-01,East,Clothing,Jacket,10,31.92,319.2,98.59
2024-03-01,North,Clothing,Jacket,5,31.98,159.9,55.33
2024-03-02,North,Clothing,Shoes,11,37.26,409.86,56.78
2024-03-02,North,Electronics,Smartwatch,1,289.52,289.52,88.8
2024-03-02,West,Groceries,Rice,13,16.99,220.87,52.88
2024-03-02,West,Toys,Action Figure,3,50.84,152.52,23.16
2024-03-02,North,Toys,Board Game,13,41.03,533.39,80.18
2024-03-02,West,Electronics,Laptop,5,116.59,582.95,144.72
2024-03-02,West,Furniture,Bed,2,147.94,295.88,38.82
2024-03-03,North,Furniture,Bed,8,157.37,1258.96,434.65
2024-03-03,North,Electronics,Headphones,12,389.58,4674.96,1125.16
2024-03-03,South,Electronics,Smartphone,7,223.94,1567.58,541.1
2024-03-04,East,Toys,Board Game,12,20.02,240.24,30.59
2024-03-04,West,Toys,Board Game,4,25.59,102.36,16.79
2024-03-04,West,Toys,Doll,5,33.84,169.2,46.01
2024-03-04,North,Electronics,Smartphone,11,442.42,4866.62,892.3
2024-03-05,West,Furniture,Table,8,184.34,1474.72,180.58
2024-03-05,West,Groceries,Beverages,14,34.2,478.8,138.07
2024-03-05,West,Furniture,Chair,5,444.02,2220.1,443.52
2024-03-05,East,Furniture,Sofa,2,114.33,228.66,29.21
2024-03-05,East,Groceries,Oil,12,5.21,62.52,16.91
2024-03-06,West,Electronics,Laptop,7,428.93,3002.51,800.81
2024-03-06,North,Electronics,Smartwatch,12,438.53,5262.36,555.21
2024-03-06,North,Groceries,Oil,7,27.42,191.94,36.36
2024-03-07,North,Toys,Board Game,9,39.29,353.61,90.59
2024-03-07,North,Furniture,Sofa,4,202.02,808.08,139.39
2024-03-07,West,Electronics,Headphones,14,284.08,3977.12,680.36
2024-03-08,East,Groceries,Rice,8,31.2,249.6,56.85
2024-03-08,South,Clothing,Shoes,10,51.54,515.4,95.4
2024-03-08,South,Electronics,Headphones,12,383.41,4600.92,1429.4
2024-03-08,East,Electronics,Headphones,12,307.31,3687.72,1231.99
2024-03-09,South,Furniture,Chair,5,563.69,2818.45,758.06
2024-03-09,East,Electronics,Smartphone,7,164.4,1150.8,309.6
2024-03-09,East,Groceries,Snacks,9,32.36,291.24,55.34
2024-03-09,East,Electronics,Smartphone,7,275.18,1926.26,370.72
2024-03-09,South,Toys,Doll,12,45.98,551.76,106.37
2024-03-10,North,Clothing,T-Shirt,11,55.34,608.74,120.95
2024-03-10,North,Toys,Action Figure,8,29.76,238.08,66.26
2024-03-10,West,Furniture,Bed,6,426.77,2560.62,756.67
2024-03-10,East,Clothing,Jacket,5,68.48,342.4,35.89
2024-03-10,East,Groceries,Rice,4,30.77,123.08,20.51
2024-03-10,North,Clothing,Jeans,13,77.44,1006.72,295.47
2024-03-10,North,Electronics,Headphones,1,284.58,284.58,85.88
2024-03-10,West,Furniture,Bed,2,257.74,515.48,80.32
2024-03-11,West,Furniture,Sofa,14,365.16,5112.24,1374.66
2024-03-11,South,Toys,Puzzle,11,17.62,193.82,62.97
2024-03-11,East,Furniture,Chair,13,468.67,6092.71,697.38
2024-03-12,East,Toys,Doll,8,58.14,465.12,55.3
2024-03-12,East,Electronics,Smartphone,9,142.24,1280.16,228.88
2024-03-12,West,Toys,Puzzle,3,43.71,131.13,21.63
2024-03-12,North,Clothing,Jacket,1,33.61,33.61,9.16
2024-03-13,South,Clothing,Jacket,1,44.81,44.81,7.86
2024-03-13,East,Groceries,Rice,2,28.79,57.58,17.37
2024-03-13,North,Furniture,Bed,2,371.65,743.3,163.77
2024-03-13,South,Clothing,Shoes,13,69.06,897.78,144.09
2024-03-14,South,Toys,Board Game,9,59.06,531.54,128.84
